# Density(g/cm^3) Pressure(dyn/cm^2) cs2
1.685958e+12 2.290215e+30 nan
1.696014e+12 2.304659e+30 nan
1.706130e+12 2.319217e+30 nan
1.716306e+12 2.333892e+30 nan
1.726542e+12 2.348683e+30 nan
1.736840e+12 2.363592e+30 nan
1.747199e+12 2.378620e+30 nan
1.757620e+12 2.393767e+30 nan
1.768103e+12 2.409035e+30 nan
1.778648e+12 2.424425e+30 nan
1.789257e+12 2.439937e+30 nan
1.799929e+12 2.455572e+30 nan
1.810664e+12 2.471332e+30 nan
1.821463e+12 2.487217e+30 nan
1.832327e+12 2.503229e+30 nan
1.843256e+12 2.519369e+30 nan
1.854249e+12 2.535636e+30 nan
1.865309e+12 2.552034e+30 nan
1.876434e+12 2.568561e+30 nan
1.887626e+12 2.585221e+30 nan
1.898884e+12 2.602013e+30 nan
1.910210e+12 2.618938e+30 nan
1.921603e+12 2.635999e+30 nan
1.933064e+12 2.653195e+30 nan
1.944593e+12 2.670528e+30 nan
1.956192e+12 2.687999e+30 nan
1.967859e+12 2.705609e+30 nan
1.979596e+12 2.723360e+30 nan
1.991403e+12 2.741251e+30 nan
2.003280e+12 2.759285e+30 nan
2.015229e+12 2.777463e+30 nan
2.027248e+12 2.795785e+30 nan
2.039339e+12 2.814253e+30 nan
2.051503e+12 2.832869e+30 nan
2.063738e+12 2.851632e+30 nan
2.076047e+12 2.870545e+30 nan
2.088430e+12 2.889608e+30 nan
2.100886e+12 2.908823e+30 nan
2.113416e+12 2.928191e+30 nan
2.126021e+12 2.947713e+30 nan
2.138701e+12 2.967391e+30 nan
2.151457e+12 2.987225e+30 nan
2.164289e+12 3.007217e+30 nan
2.177198e+12 3.027368e+30 nan
2.190183e+12 3.047680e+30 nan
2.203246e+12 3.068153e+30 nan
2.216387e+12 3.088789e+30 nan
2.229607e+12 3.109590e+30 nan
2.242905e+12 3.130556e+30 nan
2.256282e+12 3.151689e+30 nan
2.269739e+12 3.172990e+30 nan
2.283277e+12 3.194461e+30 nan
2.296895e+12 3.216103e+30 nan
2.310594e+12 3.237917e+30 nan
2.324376e+12 3.259905e+30 nan
2.338239e+12 3.282067e+30 nan
2.352185e+12 3.304406e+30 nan
2.366214e+12 3.326923e+30 nan
2.380327e+12 3.349620e+30 nan
2.394524e+12 3.372496e+30 nan
2.408806e+12 3.395555e+30 nan
2.423173e+12 3.418798e+30 nan
2.437625e+12 3.442225e+30 nan
2.452164e+12 3.465839e+30 nan
2.466790e+12 3.489642e+30 nan
2.481502e+12 3.513633e+30 nan
2.496303e+12 3.537815e+30 nan
2.511192e+12 3.562190e+30 nan
2.526169e+12 3.586759e+30 nan
2.541236e+12 3.611524e+30 nan
2.556393e+12 3.636486e+30 nan
2.571640e+12 3.661646e+30 nan
2.586978e+12 3.687007e+30 nan
2.602408e+12 3.712569e+30 nan
2.617930e+12 3.738335e+30 nan
2.633544e+12 3.764307e+30 nan
2.649251e+12 3.790485e+30 nan
2.665052e+12 3.816871e+30 nan
2.680947e+12 3.843467e+30 nan
2.696937e+12 3.870275e+30 nan
2.713023e+12 3.897297e+30 nan
2.729204e+12 3.924533e+30 nan
2.745482e+12 3.951987e+30 nan
2.761857e+12 3.979659e+30 nan
2.778330e+12 4.007551e+30 nan
2.794901e+12 4.035665e+30 nan
2.811570e+12 4.064003e+30 nan
2.828339e+12 4.092567e+30 nan
2.845209e+12 4.121357e+30 nan
2.862178e+12 4.150378e+30 nan
2.879249e+12 4.179629e+30 nan
2.896422e+12 4.209113e+30 nan
2.913697e+12 4.238832e+30 nan
2.931076e+12 4.268787e+30 nan
2.948558e+12 4.298981e+30 nan
2.966144e+12 4.329415e+30 nan
2.983835e+12 4.360091e+30 nan
3.001631e+12 4.391012e+30 nan
3.019534e+12 4.422178e+30 nan
3.037544e+12 4.453593e+30 nan
3.055661e+12 4.485258e+30 nan
3.073886e+12 4.517175e+30 nan
3.092219e+12 4.549346e+30 nan
3.110662e+12 4.581773e+30 nan
3.129215e+12 4.614458e+30 nan
3.147879e+12 4.647404e+30 nan
3.166654e+12 4.680611e+30 nan
3.185541e+12 4.714083e+30 nan
3.204541e+12 4.747822e+30 nan
3.223653e+12 4.781829e+30 nan
3.242880e+12 4.816106e+30 nan
3.262222e+12 4.850657e+30 nan
3.281679e+12 4.885483e+30 nan
3.301252e+12 4.920586e+30 nan
3.320942e+12 4.955968e+30 nan
3.340749e+12 4.991632e+30 nan
3.360674e+12 5.027580e+30 nan
3.380718e+12 5.063814e+30 nan
3.400882e+12 5.100336e+30 nan
3.421166e+12 5.137149e+30 nan
3.441571e+12 5.174255e+30 nan
3.462098e+12 5.211657e+30 nan
3.482747e+12 5.249356e+30 nan
3.503519e+12 5.287356e+30 nan
3.524415e+12 5.325658e+30 nan
3.545436e+12 5.364264e+30 nan
3.566582e+12 5.403178e+30 nan
3.587855e+12 5.442402e+30 nan
3.609254e+12 5.481938e+30 nan
3.630781e+12 5.521789e+30 nan
3.652436e+12 5.561957e+30 nan
3.674220e+12 5.602445e+30 nan
3.696134e+12 5.643255e+30 nan
3.718179e+12 5.684390e+30 nan
3.740356e+12 5.725853e+30 nan
3.762664e+12 5.767645e+30 nan
3.785106e+12 5.809770e+30 nan
3.807682e+12 5.852231e+30 nan
3.830392e+12 5.895029e+30 nan
3.853238e+12 5.938168e+30 nan
3.876220e+12 5.981651e+30 nan
3.899339e+12 6.025480e+30 nan
3.922596e+12 6.069657e+30 nan
3.945992e+12 6.114187e+30 nan
3.969527e+12 6.159070e+30 nan
3.993202e+12 6.204311e+30 nan
4.017019e+12 6.249913e+30 nan
